driver_id,age,experience_years,avg_speed,harsh_braking,sudden_acceleration,mobile_usage_minutes,night_driving_hours,fatigue_score,traffic_violations,seatbelt_compliance,weather_risk,weekly_driving_hours,accident_history,driver_risk
100038,30,13,60.95,3,3,14.54,5.76,3.74,0.0,0.957,5.0,44.25,0,Moderate Risk
100039,30,17,52.12,0,1,23.26,2.63,4.65,1.0,0.862,3.0,48.35,0,Safe
100040,46,31,59.66,5,1,24.08,2.6,3.48,1.0,0.919,2.0,24.32,0,Safe
100041,47,27,76.47,2,3,40.28,0.84,2.29,1.0,0.95,2.0,51.07,0,Safe
100042,45,28,71.0,1,2,30.35,3.25,0.75,0.0,1.0,3.0,39.14,0,Safe
100043,32,11,57.76,0,1,37.67,0.19,3.89,0.0,0.82,4.0,32.6,0,Safe
100044,42,29,83.81,4,3,21.36,1.08,3.08,0.0,0.94,3.0,25.64,0,Safe
100045,40,29,55.32,2,1,55.37,4.03,6.64,0.0,0.878,3.0,71.17,0,High Risk
100046,41,16,42.79,1,2,14.11,3.58,2.91,0.0,0.902,2.0,39.98,0,Safe
100047,49,26,68.36,0,3,22.25,1.78,3.2,0.0,0.992,2.0,46.67,0,Safe
100048,41,25,36.71,1,1,22.0,2.76,2.91,0.0,1.0,1.0,30.88,0,Safe
100049,46,26,49.58,4,4,,4.25,2.97,0.0,0.952,2.0,25.37,0,Safe
100050,40,16,63.72,4,1,45.88,4.01,5.18,0.0,0.818,2.0,51.3,0,Moderate Risk
100051,42,21,56.48,1,4,9.87,4.34,2.98,2.0,0.832,2.0,26.42,0,Safe
100052,46,26,52.29,0,1,14.58,1.04,1.43,0.0,0.928,4.0,59.36,0,Safe
100053,23,0,44.95,2,1,28.7,2.64,5.51,0.0,0.95,3.0,59.61,0,High Risk
100054,35,18,58.65,2,1,21.61,6.59,4.68,0.0,0.894,2.0,32.65,0,Safe
100055,34,14,68.28,1,2,24.38,2.75,4.36,0.0,0.923,2.0,35.55,0,Safe
100056,32,12,60.9,0,1,17.25,2.7,4.51,0.0,1.0,2.0,10.12,0,Safe
100057,36,17,52.15,1,0,19.63,3.54,3.25,0.0,0.959,,20.82,0,Safe
100058,55,37,45.74,3,0,37.7,3.37,4.19,1.0,0.911,3.0,53.72,0,Safe
100059,29,9,44.12,0,0,34.43,1.87,2.79,0.0,0.791,3.0,55.03,0,Safe
100060,50,30,63.11,0,2,22.71,0.0,3.87,0.0,0.982,3.0,35.22,0,Safe
100061,20,4,58.48,1,1,37.87,3.17,2.35,2.0,0.913,2.0,31.31,0,Safe
100062,35,12,48.78,1,2,40.53,3.45,4.28,0.0,0.936,3.0,21.67,0,Moderate Risk
100063,41,25,27.84,1,1,61.53,0.08,4.53,0.0,0.775,4.0,29.94,0,Safe
100064,45,26,68.15,1,3,33.59,3.51,2.96,1.0,0.9,3.0,59.66,0,Moderate Risk
100065,47,28,50.36,2,1,37.26,3.57,5.72,0.0,0.939,1.0,47.88,0,Moderate Risk
100066,48,27,70.88,3,2,16.25,4.68,1.51,2.0,0.825,3.0,22.4,0,Safe
100067,35,24,53.13,3,2,29.6,1.25,2.17,0.0,0.918,5.0,50.08,1,Safe
100068,34,11,45.06,2,1,26.44,4.13,4.46,0.0,0.973,3.0,68.87,1,High Risk
100069,48,31,58.14,0,1,37.43,3.94,5.14,0.0,0.856,1.0,40.09,0,Safe
100070,37,12,93.26,7,4,39.18,5.99,3.29,1.0,0.951,4.0,32.64,0,High Risk
100071,25,7,66.33,2,2,39.25,5.08,5.56,1.0,0.875,2.0,46.52,1,Moderate Risk
100072,27,7,54.22,2,2,45.94,5.43,6.01,1.0,0.869,2.0,51.62,0,High Risk
100073,29,2,66.34,5,2,34.31,4.04,3.97,1.0,0.945,5.0,48.3,0,High Risk
100074,44,25,37.56,2,1,17.15,2.32,3.54,0.0,0.879,2.0,39.69,1,Safe
100075,41,16,50.56,1,0,33.82,5.52,5.87,1.0,0.799,2.0,36.47,1,High Risk
100076,47,27,28.84,0,0,37.74,0.87,5.07,0.0,0.881,5.0,23.25,0,Safe
100077,34,13,78.68,7,4,40.51,6.04,4.18,3.0,0.899,4.0,26.1,0,High Risk
100078,41,21,82.43,2,3,20.06,4.56,3.2,2.0,0.941,1.0,46.95,1,Moderate Risk
100079,46,23,56.56,0,1,11.02,2.58,3.06,,0.956,4.0,36.65,0,Safe
100080,36,19,57.28,2,2,48.59,0.57,2.74,0.0,0.823,1.0,45.14,0,Safe
100081,44,28,35.83,0,0,,2.88,4.96,0.0,0.961,3.0,41.3,0,Safe
100082,32,15,46.59,2,1,23.81,2.31,4.15,0.0,0.9,3.0,42.04,0,Safe
100083,35,15,83.0,5,3,21.95,0.7,3.16,0.0,1.0,3.0,41.53,0,Safe
100084,35,16,57.35,0,2,27.81,2.39,5.09,0.0,0.964,5.0,50.47,0,Safe
100085,26,3,54.85,0,1,23.91,5.29,5.27,1.0,0.928,3.0,48.84,1,Moderate Risk
100086,44,19,38.46,4,2,26.22,3.25,4.97,3.0,0.894,,41.97,0,High Risk
100087,34,18,76.99,3,2,17.5,2.89,4.15,0.0,0.894,1.0,39.51,0,Safe
100088,39,22,55.34,2,3,45.05,0.51,5.34,0.0,0.868,3.0,42.41,0,Moderate Risk
100089,44,30,33.86,0,1,30.74,2.69,2.29,0.0,0.93,2.0,35.19,0,Safe
100090,44,16,47.27,2,1,26.56,6.04,5.33,0.0,0.969,3.0,54.56,0,Safe
100091,46,25,46.35,1,0,9.89,3.15,5.08,2.0,0.834,3.0,36.76,0,Safe
100092,38,16,56.22,1,1,16.62,2.75,3.13,,0.883,2.0,39.6,0,Safe
100093,34,20,57.68,3,2,35.39,4.51,3.87,3.0,0.98,2.0,44.51,0,Moderate Risk
100094,38,18,47.17,0,2,17.2,5.45,3.82,0.0,0.877,3.0,45.68,0,Safe
100095,20,0,68.14,3,1,33.72,6.19,4.81,0.0,0.814,3.0,41.23,0,High Risk
100096,23,4,56.73,1,2,24.06,4.31,5.22,0.0,0.968,2.0,37.24,0,Moderate Risk
100097,24,0,70.46,2,4,28.98,1.05,3.68,0.0,0.921,1.0,57.74,0,Moderate Risk
100098,28,0,52.76,2,2,25.04,5.53,5.62,0.0,0.902,4.0,38.9,0,Moderate Risk
100099,43,27,92.77,7,3,21.87,2.36,4.08,2.0,0.965,4.0,40.92,0,Moderate Risk
100100,29,13,52.4,3,0,35.94,2.55,5.32,0.0,0.867,4.0,62.43,0,Moderate Risk
100101,35,19,49.38,1,0,35.61,1.61,3.7,0.0,0.896,2.0,32.85,0,Safe
100102,53,27,53.55,4,4,26.13,3.95,4.13,0.0,0.92,3.0,65.48,0,Safe
100103,35,11,58.5,3,1,37.23,5.14,2.84,0.0,0.857,,16.48,0,Moderate Risk
100104,47,28,43.74,1,0,13.03,1.86,0.49,0.0,0.913,5.0,39.34,1,Safe
100105,29,9,58.26,3,2,26.48,4.66,3.51,1.0,0.833,2.0,19.94,0,Moderate Risk
100106,37,20,28.73,3,0,20.48,5.11,1.19,0.0,0.879,3.0,26.05,0,Safe
100107,29,6,59.88,1,4,22.27,4.28,3.97,0.0,0.868,3.0,44.75,0,Safe
100108,35,17,45.22,1,0,19.73,3.33,4.51,0.0,0.783,1.0,45.17,0,Safe
100109,48,29,56.23,0,1,41.2,2.74,4.16,0.0,0.937,3.0,37.08,0,Safe
100110,20,0,70.1,4,4,18.78,2.72,0.68,0.0,0.918,2.0,57.6,0,Moderate Risk
100111,44,25,75.5,1,1,18.58,4.38,3.71,1.0,1.0,3.0,57.11,0,Moderate Risk
100112,42,23,50.08,4,1,26.64,5.09,4.93,1.0,0.816,4.0,42.44,2,High Risk
100113,32,12,57.54,1,0,20.99,3.7,4.92,1.0,0.836,2.0,18.94,0,Safe
100114,23,0,43.14,0,1,22.67,3.08,4.42,0.0,0.958,4.0,49.51,1,Moderate Risk
100115,40,14,50.46,2,1,21.82,,3.9,0.0,0.822,2.0,35.29,1,High Risk
100116,33,11,50.1,1,0,33.94,1.97,4.33,0.0,0.885,2.0,43.93,1,Safe
100117,42,19,69.41,3,1,44.02,5.41,7.06,1.0,0.86,4.0,51.75,0,High Risk
100118,39,20,56.14,1,3,35.24,5.18,4.56,0.0,0.999,4.0,37.59,0,Safe
100119,57,40,86.71,2,4,56.75,3.84,3.52,0.0,0.877,3.0,62.15,0,High Risk
100120,36,14,57.1,0,2,54.31,2.69,3.94,1.0,0.856,1.0,36.53,1,Safe
100121,28,8,45.31,1,2,14.04,3.27,2.78,1.0,0.929,1.0,46.23,0,Safe
100122,41,27,47.13,1,0,41.97,0.07,2.43,0.0,0.834,4.0,53.0,0,Safe
100123,41,23,50.97,0,2,52.06,1.85,3.65,0.0,0.837,2.0,54.01,1,Safe
100124,54,35,73.19,3,2,29.67,4.25,7.59,0.0,0.839,1.0,66.63,0,High Risk
100125,48,30,33.37,1,0,21.54,1.69,2.14,0.0,0.971,1.0,34.73,0,Safe
100126,43,17,39.22,0,0,17.43,7.39,3.87,1.0,0.962,1.0,28.15,0,Safe
100127,55,33,47.37,1,2,31.94,2.16,6.83,0.0,0.854,3.0,41.4,0,Safe
100128,26,1,64.38,2,3,17.4,2.23,4.47,2.0,0.885,4.0,74.74,1,High Risk
100129,32,11,74.45,4,3,27.82,4.08,4.69,1.0,0.906,4.0,56.63,0,High Risk
100130,29,9,72.79,4,3,82.54,4.22,6.14,0.0,0.714,2.0,33.38,1,High Risk
100131,35,19,66.97,0,0,13.73,5.59,4.23,0.0,0.96,3.0,38.01,0,Moderate Risk
100132,24,4,61.27,3,2,29.23,3.28,3.4,0.0,,5.0,38.7,0,Moderate Risk
100133,46,26,71.94,6,1,38.58,1.55,4.22,2.0,0.778,4.0,47.0,0,Moderate Risk
100134,37,23,39.79,0,3,27.96,2.16,4.37,0.0,0.913,2.0,50.75,0,Safe
100135,23,5,41.41,0,0,36.4,5.74,2.96,0.0,0.917,4.0,47.29,0,Safe
100136,28,9,69.1,1,1,15.34,6.36,3.97,2.0,0.972,1.0,54.34,0,High Risk
100137,42,21,52.14,6,2,58.43,2.2,2.98,5.0,0.893,4.0,66.65,0,High Risk
100138,48,26,56.59,2,5,27.03,2.81,2.79,0.0,0.865,2.0,42.12,0,Safe
100139,61,44,56.43,4,1,11.16,5.35,4.56,1.0,1.0,2.0,45.12,0,Safe
100140,70,48,57.04,3,1,34.29,4.25,3.88,0.0,0.927,3.0,44.19,1,Moderate Risk
100141,44,25,64.85,1,2,57.05,2.09,4.15,0.0,0.802,3.0,40.18,0,Safe
100142,28,20,68.03,1,4,22.03,1.22,0.33,1.0,0.983,3.0,46.83,0,Safe
100143,18,0,63.73,1,3,27.31,2.69,2.32,1.0,0.907,4.0,45.63,1,Safe
100144,42,18,57.92,0,1,43.49,4.7,3.7,0.0,1.0,2.0,62.67,0,Moderate Risk
100145,30,17,57.35,1,1,37.97,0.75,1.57,0.0,0.998,4.0,33.23,0,Safe
100146,34,14,50.69,2,2,18.82,3.72,4.02,1.0,0.884,1.0,45.38,0,Safe
100147,32,6,55.23,1,3,13.51,2.99,3.35,1.0,0.827,1.0,29.23,0,Safe
100148,37,20,86.88,6,2,58.44,1.95,5.45,0.0,0.825,5.0,47.26,0,High Risk
100149,51,31,63.13,2,2,19.35,2.13,5.33,1.0,0.768,4.0,76.89,0,Safe
100150,41,26,64.85,3,4,14.57,4.5,5.39,2.0,0.932,1.0,42.08,1,Moderate Risk
100151,37,11,50.1,0,1,19.82,4.37,4.77,0.0,0.976,3.0,69.85,0,Moderate Risk
100152,28,9,71.67,1,5,49.92,5.28,5.09,0.0,0.861,1.0,29.94,0,Moderate Risk
100153,21,1,69.59,2,2,12.44,2.38,3.49,1.0,0.943,3.0,32.7,1,Safe
100154,34,9,69.63,1,1,44.26,0.67,2.59,0.0,0.926,5.0,35.87,0,Safe
100155,38,16,57.22,2,1,32.6,3.63,4.49,0.0,0.998,,43.62,0,Safe
100156,58,42,74.0,2,2,19.36,2.93,3.11,0.0,0.952,3.0,45.39,1,Safe
100157,40,23,74.28,2,1,26.55,2.27,2.47,1.0,0.896,4.0,52.23,0,Safe
100158,50,28,59.66,2,4,35.12,0.0,0.96,0.0,,3.0,11.19,0,Safe
100159,34,17,57.56,2,1,21.98,4.75,1.31,1.0,1.0,3.0,29.98,0,Safe
100160,26,15,70.11,1,2,19.21,0.0,2.95,0.0,0.875,2.0,64.03,1,Safe
100161,28,8,51.48,2,1,37.07,4.76,3.55,0.0,1.0,3.0,22.87,1,Safe
100162,31,17,45.2,0,1,28.94,4.42,3.37,0.0,0.876,4.0,37.46,0,Safe
100163,62,36,62.66,2,2,47.56,3.98,3.56,1.0,0.832,3.0,53.27,0,Safe
100164,30,9,37.2,0,1,49.37,3.41,3.93,1.0,0.891,2.0,39.43,0,Moderate Risk
100165,48,32,65.91,0,1,20.89,0.0,1.66,0.0,0.948,2.0,34.84,0,Safe
100166,29,12,44.3,1,0,26.52,0.7,3.46,0.0,0.785,2.0,45.98,0,Safe
100167,49,37,48.34,2,1,43.65,1.53,4.99,0.0,0.949,5.0,56.17,0,Moderate Risk
100168,43,28,48.48,0,2,38.57,6.09,4.32,1.0,0.765,1.0,37.0,0,High Risk
100169,37,13,61.18,1,3,33.62,5.02,5.78,0.0,1.0,3.0,45.75,0,High Risk
100170,39,10,61.8,1,1,45.03,3.18,3.68,0.0,0.77,4.0,50.53,2,Moderate Risk
100171,32,9,50.72,2,1,,2.48,1.45,0.0,0.934,2.0,52.95,0,Safe
100172,44,25,53.48,3,4,31.63,3.27,5.64,2.0,0.942,2.0,47.94,0,Safe
100173,34,16,55.64,3,1,17.95,4.75,2.06,0.0,0.982,2.0,62.03,0,Moderate Risk
100174,26,10,48.54,2,4,39.69,4.0,3.83,1.0,0.776,3.0,40.77,0,High Risk
100175,25,0,74.32,3,2,35.12,1.43,4.35,0.0,0.912,2.0,26.2,0,Safe
100176,41,22,32.34,1,0,,5.57,6.25,0.0,0.808,2.0,40.22,1,Moderate Risk
100177,56,28,53.21,0,1,47.14,3.77,4.67,0.0,0.901,2.0,58.7,0,Safe
100178,41,16,51.47,1,4,15.68,2.45,2.63,1.0,0.784,1.0,30.8,0,Safe
100179,38,25,53.5,1,1,31.88,3.64,6.11,0.0,0.94,1.0,16.6,0,Safe
100180,42,25,35.97,2,0,,5.1,5.26,0.0,1.0,1.0,49.02,0,Safe
100181,53,36,55.8,3,0,33.92,3.61,5.37,1.0,0.892,4.0,40.59,1,Safe
100182,41,22,61.54,1,4,19.45,3.88,4.78,0.0,0.925,5.0,69.82,0,High Risk
100183,34,14,76.47,0,3,21.3,5.98,5.11,0.0,0.949,3.0,44.28,0,Moderate Risk
100184,51,19,63.75,3,1,28.06,2.16,4.19,0.0,0.929,1.0,57.03,0,Safe
100185,44,29,34.77,1,0,13.49,1.32,2.89,0.0,0.826,3.0,38.49,0,Safe
100186,56,35,49.61,0,1,15.21,2.2,1.45,0.0,0.855,4.0,52.83,0,Safe
100187,41,19,73.93,2,1,34.21,4.7,3.07,0.0,0.865,4.0,46.64,0,High Risk
100188,26,6,50.08,3,1,56.55,5.29,6.18,0.0,0.854,3.0,55.87,0,High Risk
100189,24,4,62.51,2,1,14.71,3.99,5.07,0.0,0.875,1.0,41.18,0,Safe
100190,57,41,56.95,3,4,16.06,1.56,3.39,3.0,0.952,2.0,40.74,0,Safe
100191,58,38,48.14,3,3,28.34,6.03,3.65,0.0,0.99,5.0,58.82,0,Moderate Risk
100192,37,15,90.19,2,4,,1.42,3.21,1.0,0.898,4.0,32.73,0,Safe
100193,35,14,53.11,1,4,23.95,2.64,3.96,0.0,0.828,4.0,31.27,0,Safe
100194,55,33,69.66,4,2,27.47,1.8,1.53,0.0,0.955,2.0,44.73,0,Safe
100195,27,2,49.72,1,1,,5.58,6.07,0.0,0.969,2.0,34.53,1,Moderate Risk
100196,29,5,64.4,2,1,23.21,3.39,4.76,0.0,0.917,2.0,39.3,1,Moderate Risk
100197,46,26,68.74,0,3,13.25,5.86,2.91,1.0,0.898,2.0,35.7,0,Safe
100198,35,20,52.54,0,5,73.35,4.6,5.65,0.0,0.823,2.0,55.84,0,High Risk
100199,39,22,59.85,1,3,18.55,,3.12,0.0,0.889,4.0,56.11,0,Safe
100200,37,18,44.36,1,3,37.92,2.76,5.67,0.0,0.909,2.0,51.93,0,Moderate Risk
100201,43,22,40.04,0,0,34.14,2.27,3.4,0.0,0.751,2.0,51.62,0,Safe
100202,54,36,75.92,3,2,20.75,5.35,2.68,0.0,0.936,2.0,23.74,0,Safe
100203,40,24,44.79,0,2,20.54,4.56,3.96,0.0,0.906,5.0,44.68,0,Moderate Risk
100204,46,31,35.59,1,0,12.87,0.3,1.85,0.0,1.0,1.0,55.11,0,Safe
100205,18,5,71.54,3,4,42.89,4.58,5.93,0.0,0.767,3.0,55.19,0,High Risk
100206,38,19,46.04,0,1,42.59,3.16,4.2,0.0,0.801,5.0,39.73,0,Moderate Risk
100207,30,16,58.93,2,1,24.24,1.19,2.25,1.0,0.933,4.0,57.16,0,Safe
100208,26,10,77.69,7,3,20.89,2.13,2.7,3.0,0.998,3.0,43.89,1,Moderate Risk
100209,29,11,51.03,2,0,18.1,3.14,2.67,0.0,0.901,3.0,9.42,0,Safe
100210,35,21,57.75,2,0,24.33,0.0,2.7,0.0,0.898,3.0,41.43,0,Safe
100211,49,28,43.53,0,1,16.64,3.38,1.73,0.0,0.875,1.0,34.08,0,Safe
100212,24,1,37.52,1,1,30.65,3.95,2.74,0.0,0.884,1.0,30.87,0,Safe
100213,39,21,53.51,1,2,29.63,2.78,4.35,0.0,0.836,1.0,55.24,0,Safe
100214,34,16,62.22,1,2,30.49,3.42,5.49,1.0,0.804,3.0,45.09,0,Moderate Risk
100215,35,13,59.34,1,0,18.02,3.07,2.94,0.0,0.951,3.0,34.64,2,Safe
100216,50,33,61.96,1,2,15.68,1.09,3.1,1.0,0.877,3.0,37.14,0,Safe
100217,45,28,57.28,2,1,22.29,1.91,6.12,0.0,0.969,1.0,49.42,0,Safe
100218,54,29,34.46,1,3,38.79,1.68,4.12,0.0,0.895,3.0,42.17,0,Safe
100219,37,14,61.36,2,5,30.72,4.49,2.26,1.0,0.962,2.0,49.44,1,Moderate Risk
100220,31,9,67.04,3,2,18.11,1.76,3.75,0.0,0.834,4.0,30.06,0,Moderate Risk
100221,37,13,75.13,3,0,31.3,2.51,4.0,0.0,0.949,5.0,36.29,0,Safe
100222,42,30,59.53,1,3,7.71,3.05,2.68,0.0,0.946,3.0,31.17,0,Safe
100223,41,16,45.73,1,1,36.31,0.77,2.22,0.0,0.787,3.0,34.88,0,Safe
100224,27,6,51.7,3,1,45.53,2.89,5.56,0.0,0.814,2.0,65.45,1,High Risk
100225,40,16,50.79,2,3,21.11,,0.65,0.0,0.863,2.0,32.68,0,Safe
100226,42,21,64.48,1,2,26.34,3.47,3.4,1.0,0.936,3.0,36.94,0,Safe
100227,67,47,54.87,4,1,13.35,3.57,3.15,0.0,0.887,4.0,38.45,0,Moderate Risk
100228,60,41,43.92,0,1,12.51,1.69,2.38,1.0,0.864,2.0,44.82,0,Safe
100229,30,9,45.29,0,1,41.07,1.69,3.76,0.0,0.847,2.0,39.11,0,Safe
100230,36,17,61.84,1,1,18.16,2.52,2.31,0.0,0.982,1.0,56.36,0,Safe
100231,23,0,68.78,2,2,29.09,4.15,4.66,0.0,0.891,4.0,33.13,0,High Risk
100232,33,20,55.56,2,1,32.85,2.73,7.18,0.0,,2.0,43.77,1,High Risk
100233,42,24,66.62,2,1,27.29,1.2,2.13,1.0,,4.0,20.79,0,Safe
100234,52,24,68.74,2,3,13.34,6.87,4.72,0.0,0.859,2.0,32.9,0,Safe
100235,31,14,61.81,1,1,24.68,2.06,3.9,1.0,1.0,3.0,54.11,0,Safe
100236,32,13,49.48,2,1,36.28,1.18,3.74,0.0,1.0,3.0,30.59,0,Safe
100237,18,2,67.27,3,1,26.61,2.58,3.31,1.0,0.856,5.0,47.65,0,High Risk
100238,37,16,72.47,2,3,25.01,4.83,4.09,,0.91,3.0,30.41,2,High Risk
100239,27,10,59.75,1,2,39.41,4.51,4.75,1.0,0.868,3.0,38.12,0,High Risk
100240,33,14,71.59,3,2,34.64,6.45,6.06,0.0,0.848,3.0,61.66,0,High Risk
100241,29,6,57.5,1,0,,1.94,4.38,0.0,0.963,4.0,48.26,1,Safe
100242,38,21,56.5,4,4,48.64,2.7,5.49,0.0,0.772,4.0,19.19,0,Moderate Risk
100243,20,0,55.59,4,2,21.04,5.56,3.98,0.0,0.866,2.0,76.66,0,High Risk
100244,23,0,59.87,1,5,23.23,2.06,3.5,0.0,0.928,1.0,25.54,0,Safe
100245,62,38,71.17,6,2,23.22,4.97,4.43,1.0,1.0,2.0,68.76,1,High Risk
100246,25,5,25.0,0,0,35.15,3.75,5.09,0.0,0.973,5.0,33.75,0,Moderate Risk
100247,27,0,60.62,3,2,48.08,2.48,2.34,0.0,0.806,4.0,23.25,0,Safe
100248,59,35,60.62,2,1,18.28,0.08,4.1,0.0,0.881,2.0,40.29,0,Safe
100249,70,49,47.31,0,2,21.99,3.89,4.27,0.0,0.911,2.0,40.94,0,Safe
100250,26,10,63.14,1,5,50.37,6.05,6.45,1.0,0.957,1.0,33.62,2,High Risk
100251,35,16,50.21,1,3,39.84,3.94,4.5,0.0,0.909,2.0,42.24,0,Moderate Risk
100252,43,17,54.71,1,1,30.94,4.0,4.09,0.0,1.0,3.0,47.48,0,Safe
100253,58,31,80.53,1,2,,3.45,3.5,0.0,0.961,5.0,61.86,0,Safe
100254,28,2,70.58,4,2,16.13,5.35,3.66,0.0,1.0,3.0,41.01,0,High Risk
100255,36,13,65.04,0,4,33.7,5.54,2.42,0.0,0.879,1.0,41.79,0,Moderate Risk
100256,48,33,63.42,1,1,19.28,0.0,2.67,1.0,0.875,2.0,36.59,0,Safe
100257,44,22,58.99,0,1,41.46,2.64,3.56,0.0,1.0,4.0,39.48,0,Safe
100258,35,20,86.87,5,2,27.31,2.19,3.7,0.0,0.813,4.0,36.35,0,Moderate Risk
100259,38,24,64.6,2,4,14.13,3.44,2.62,3.0,0.947,1.0,26.8,0,Safe
100260,24,3,48.32,1,0,19.04,3.08,4.42,0.0,0.908,2.0,69.27,0,Moderate Risk
100261,36,14,39.51,1,1,64.46,4.18,5.07,1.0,0.8,2.0,43.99,1,High Risk
100262,36,13,62.54,2,2,34.7,4.02,2.34,2.0,0.911,4.0,43.92,2,High Risk
100263,42,20,50.87,0,1,20.2,0.0,3.21,0.0,0.908,3.0,57.01,1,Safe
100264,33,11,40.95,1,0,29.34,0.0,3.65,0.0,0.835,2.0,9.44,1,Safe
100265,44,28,65.06,1,4,,4.29,5.43,0.0,0.829,3.0,71.02,0,High Risk
100266,50,31,54.15,2,2,39.79,1.59,2.79,0.0,0.929,4.0,34.51,0,Safe
100267,41,27,64.33,5,2,34.37,5.95,2.99,0.0,0.843,2.0,33.34,1,High Risk
100268,43,31,64.97,4,2,78.55,4.45,6.8,2.0,0.801,5.0,38.31,0,High Risk
100269,40,17,56.35,4,1,30.24,0.29,3.92,0.0,0.842,4.0,53.55,0,Safe
100270,39,22,63.92,4,2,15.33,1.82,2.56,2.0,0.87,3.0,68.57,0,Moderate Risk
100271,31,8,47.34,1,2,13.95,4.01,3.06,1.0,0.901,2.0,59.43,0,Moderate Risk
100272,42,18,52.44,0,2,11.25,2.54,3.26,1.0,0.84,1.0,36.18,0,Safe
100273,38,21,59.15,1,1,39.39,2.92,4.84,0.0,0.865,,21.04,0,Safe
100274,62,40,66.93,4,8,24.09,1.12,2.95,0.0,0.971,4.0,41.83,0,Safe
100275,56,39,57.23,2,4,20.58,3.59,2.14,1.0,0.975,4.0,38.91,1,Safe
100276,43,31,79.1,3,1,15.38,,1.21,1.0,0.898,1.0,25.08,0,Safe
100277,31,11,69.94,3,2,26.28,4.79,3.45,0.0,0.844,1.0,47.41,1,Safe
